SIGN ID,LOCATION DESCRIPTION,LIMIT,LATITUDE,LONGITUDE
8056,ALBION STREET,40,-37.758706,144.945184
24045,ALBION ROAD,80,-37.062772,142.799645
24044,ALBION ROAD,80,-37.061131,142.793356
24042,ALBION ROAD,60,-37.060968,142.791693
30719,ALBION STREET,40,-36.767209,144.297591
56459,ALBION ROAD,40,-37.825866,145.136655
55177,ALBION STREET,50,-37.756437,144.929492
87264,ALBION STREET,40,-37.873931,144.991533
8073,ALBION STREET,50,-37.759661,144.953245
113185,ALBION ,50,-37.867886,145.069014
9501,ALBURY STREET,40,-37.777268,144.81916
9503,ALBURY STREET,40,-37.776367,144.819313
42015,ALDEBARAN ROAD,50,-38.26636,144.543094
41911,ALDEBARAN ROAD,50,-38.265239,144.54363
65356,ALDER STREET,50,-37.848706,145.098123
24962,ALDERSYDE DRIVE,80,-36.326072,145.028732
15769,ALDINGA DRIVE,50,-36.257237,145.350822
39564,ALDRIN COURT,40,-38.177178,144.39528
65296,ALEX AVENUE,50,-37.903028,145.190987
7626,ALEXANDER STREET,40,-37.794213,144.991598
10467,ALEXANDER AVENUE,50,-37.681981,145.029174
37526,ALEXANDER AVENUE,50,-37.537949,143.832487
31907,ALEXANDER STREET,40,-34.5863,142.779864
31909,ALEXANDER STREET,40,-34.586301,142.782125
56243,ALEXANDER CRESCENT,40,-37.873552,145.298371
55119,ALEXANDER ROAD,40,-37.747265,145.183777
55120,ALEXANDER ROAD,40,-37.748148,145.183645
66188,ALEXANDER ROAD,40,-37.745724,145.184028
22924,ALEXANDERS ROAD,60,-37.478559,149.583352
1275,ALEXANDRA AVENUE,50,-37.827353,144.980732
1277,ALEXANDRA AVENUE,50,-37.824518,144.977522
1240,ALEXANDRA AVENUE,50,-37.823767,144.976796
36332,ALEXANDRA STREET,50,-37.586044,143.832015
55645,ALEXANDRA ROAD,40,-37.817374,145.25548
66772,ALEXANDRA ROAD,40,-37.817383,145.253688
66775,ALEXANDRA ROAD,50,-37.817368,145.25134
51818,ALEXANDRA STREET,50,-37.840492,144.986226
7544,ALEXINA STREET,40,-37.739574,144.797521
19989,ALFORD AVENUE,60,-37.229001,145.88603
17658,ALFRED STREET,70,-38.168064,145.939377
21831,ALFRED STREET,40,-37.966541,146.983734
21828,ALFRED STREET,50,-37.963586,146.98397
7668,ALFRED CRESCENT,40,-37.785595,144.982251
36338,ALFRED STREET,40,-37.584287,143.834538
36342,ALFRED STREET,40,-37.583384,143.834705
36343,ALFRED STREET,60,-37.582105,143.83494
36383,ALFRED STREET,50,-37.561936,143.829192
23890,ALFRED STREET,60,-37.278227,142.951004
82154,ALFRED SQUARE,40,-37.864722,144.97336
59341,ALFRED STREET,40,-37.559347,143.829669
63993,ALFRED STREET,40,-37.97042,145.170467
75328,ALFRED STREET,40,-37.867615,144.991992
31095,ALFRED STREET,50,-37.409784,143.890911
31091,ALFRED STREET,40,-37.409378,143.891729
39180,ALFRED DEAKIN DRIVE,40,-38.198441,144.300519
39384,ALFRED DEAKIN DRIVE,40,-38.19836,144.301349
7597,ALFRIEDA STREET,40,-37.731725,144.802829
7595,ALFRIEDA STREET,40,-37.728575,144.803426
74116,ALFRIEDA STREET,40,-37.74119,144.801113
74117,ALFRIEDA STREET,40,-37.742019,144.800953
74342,ALFRIEDA STREET,40,-37.742729,144.800816
74343,ALFRIEDA STREET,40,-37.74362,144.800644
34168,ALGERIAN STREET,40,-35.380418,142.189433
34170,ALGERIAN STREET,40,-35.380044,142.190841
42072,ALICE ROAD,50,-38.458272,144.108581
39798,ALKARA AVENUE,50,-38.018982,144.415579
23822,ALKERA ROAD,60,-37.525747,143.889495
67107,ALLAMBANAN DRIVE,50,-37.83324,145.30176
55938,ALLAMBANAN DRIVE,50,-37.832107,145.287806
67105,ALLAMBANAN DRIVE,50,-37.832612,145.29025
53841,ALLAMBI AVENUE,50,-38.372628,144.886217
16649,ALLAMBI STREET,40,-36.366591,145.395418
53844,ALLAMBI AVENUE,40,-38.371739,144.888814
64392,ALLAMBI AVENUE,40,-38.37361,144.883591
44216,ALLAMBIE STREET,40,-38.194331,144.467764
24968,ALLAN STREET,60,-36.313526,145.040368
24975,ALLAN STREET,40,-36.313517,145.049502
24970,ALLAN STREET,60,-36.313523,145.044753
24972,ALLAN STREET,40,-36.313519,145.048912
33243,ALLAN STREET,40,-35.186776,143.341614
55789,ALLANFIELD CRESCENT,50,-37.862744,145.256026
55790,ALLANFIELD CRESCENT,40,-37.862146,145.254202
62591,ALLEE STREET,40,-37.907436,144.992706
62576,ALLEE STREET,50,-37.908304,144.994254
19763,ALLEN CRESCENT,50,-38.200832,146.555209
19767,ALLEN CRESCENT,40,-38.200544,146.551666
54305,ALLEN STREET,40,-37.888306,145.161965
67480,ALLENBY ROAD,40,-37.78399,145.349679
10296,ALLENBY AVENUE,50,-37.700829,145.004612
67481,ALLENBY ROAD,50,-37.782287,145.351668
54604,ALLENBY ROAD,50,-37.819744,145.059094
81111,ALLENDALE ROAD,50,-37.691226,145.17921
11112,ALLENDALE ROAD,50,-37.690517,145.172514
11113,ALLENDALE ROAD,50,-37.689984,145.167844
11115,ALLENDALE ROAD,50,-37.689001,145.160481
11120,ALLENDALE ROAD,60,-37.687014,145.144843
55133,ALLENDALE ROAD,50,-37.689083,145.161094
81105,ALLENDALE ROAD,50,-37.691915,145.184713
81107,ALLENDALE ROAD,50,-37.692594,145.190319
81109,ALLENDALE ROAD,50,-37.693213,145.19526
11107,ALLENDALE ROAD,50,-37.691245,145.179364
11118,ALLENDALE ROAD,50,-37.688432,145.155815
